0
Back Back 0.05 2 2 ..\..\Binary\Resources\Sprite\Map\Back\Back.png 465.272 -451.324
1
Layer0 Bush07 1 3 3 ..\..\Binary\Resources\Sprite\Map\Bush\Bush07.png 210 496
1
Layer1 Flower14 1 2 2 ..\..\Binary\Resources\Sprite\Map\flower\Flower14.png 383.511 494
1
Layer2 Rock12 1 3 3 ..\..\Binary\Resources\Sprite\Map\Rock\Rock12.png 929.769 499.712
1
Layer3 ObservatoryA01_0 1 3 3 ..\..\Binary\Resources\Sprite\Map\Observe\ObservatoryA01_0.png 1,105.22 43.7117
1
Layer Flag_0 1 2 2 ..\..\Binary\Resources\Sprite\Map\Flag\Flag_0.png 76 194
2
358
Tile
Tile_00 32 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_00.png
Tile_01 96 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_01.png
Tile_01 160 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_01.png
Tile_01 224 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_01.png
Tile_01 288 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_01.png
Tile_01 352 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_01.png
Tile_01 416 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_01.png
Tile_01 480 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_01.png
Tile_01 544 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_01.png
Tile_01 608 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_01.png
Tile_01 672 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_01.png
Tile_01 736 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_01.png
Tile_01 800 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_01.png
Tile_02 864 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 928 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 992 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 1,056 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 1,120 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 1,184 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 1,248 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 1,312 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 1,376 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 1,440 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 1,504 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 1,568 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 1,952 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 2,016 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 2,080 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 2,144 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 2,208 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 2,272 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 2,336 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 2,400 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 2,464 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 2,528 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 2,592 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_03 2,656 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_03.png
Tile_07 2,656 672 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_07.png
Tile_06 2,592 672 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_06.png
Tile_06 2,464 672 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_06.png
Tile_06 2,528 672 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_06.png
Tile_06 2,400 672 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_06.png
Tile_06 2,272 672 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_06.png
Tile_06 2,336 672 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_06.png
Tile_06 2,208 672 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_06.png
Tile_06 2,144 672 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_06.png
Tile_06 2,080 672 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_06.png
Tile_06 2,016 672 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_06.png
Tile_06 1,952 672 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_06.png
Tile_06 1,568 672 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_06.png
Tile_06 1,504 672 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_06.png
Tile_06 1,440 672 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_06.png
Tile_06 1,376 672 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_06.png
Tile_06 1,312 672 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_06.png
Tile_06 1,248 672 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_06.png
Tile_06 1,184 672 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_06.png
Tile_06 1,120 672 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_06.png
Tile_06 992 672 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_06.png
Tile_06 1,056 672 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_06.png
Tile_06 928 672 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_06.png
Tile_06 864 672 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_06.png
Tile_06 800 672 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_06.png
Tile_06 736 672 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_06.png
Tile_06 672 672 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_06.png
Tile_06 608 672 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_06.png
Tile_06 544 672 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_06.png
Tile_06 480 672 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_06.png
Tile_06 416 672 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_06.png
Tile_06 352 672 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_06.png
Tile_06 288 672 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_06.png
Tile_06 224 672 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_06.png
Tile_06 160 672 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_06.png
Tile_06 96 672 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_06.png
Tile_04 32 672 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_04.png
Tile_04 32 736 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_04.png
Tile_04 32 800 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_04.png
Tile_05 96 736 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_05.png
Tile_05 96 800 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_05.png
Tile_05 160 736 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_05.png
Tile_05 160 800 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_05.png
Tile_05 288 736 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_05.png
Tile_05 224 736 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_05.png
Tile_05 224 800 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_05.png
